"date","Dólar","Salario_Minimo","Reservas_Internacionais","Selic","IPCA"
"1995-01-04",0.846,70,38806,NA,1.71
"1995-01-05",0.844,70,38806,NA,1.71
"1995-01-06",0.841,70,38806,NA,1.71
"1995-01-09",0.846,70,38806,NA,1.71
"1995-01-10",0.848,70,38806,NA,1.71
"1995-01-11",0.851,70,38806,NA,1.71
"1995-01-12",0.846,70,38806,NA,1.71
"1995-01-13",0.847,70,38806,NA,1.71
"1995-01-16",0.85,70,38806,NA,1.71
"1995-01-17",0.846,70,38806,NA,1.71
"1995-01-18",0.846,70,38806,NA,1.71
"1995-01-19",0.848,70,38806,NA,1.71
"1995-01-20",0.848,70,38806,NA,1.71
"1995-01-23",0.852,70,38806,NA,1.71
"1995-01-24",0.854,70,38806,NA,1.71
"1995-01-25",0.853,70,38806,NA,1.71
"1995-01-26",0.846,70,38806,NA,1.71
"1995-01-27",0.845,70,38806,NA,1.71
"1995-01-30",0.847,70,38806,NA,1.71
"1995-01-31",0.842,70,38806,NA,1.71
"1995-02-01",0.843,70,37998,NA,1.02
"1995-02-02",0.84,70,37998,NA,1.02
"1995-02-03",0.84,70,37998,NA,1.02
"1995-02-06",0.838,70,37998,NA,1.02
"1995-02-07",0.837,70,37998,NA,1.02
"1995-02-08",0.836,70,37998,NA,1.02
"1995-02-09",0.834,70,37998,NA,1.02
"1995-02-10",0.835,70,37998,NA,1.02
"1995-02-13",0.834,70,37998,NA,1.02
"1995-02-14",0.835,70,37998,NA,1.02
"1995-02-15",0.837,70,37998,NA,1.02
"1995-02-16",0.845,70,37998,NA,1.02
"1995-02-17",0.85,70,37998,NA,1.02
"1995-02-20",0.842,70,37998,NA,1.02
"1995-02-21",0.843,70,37998,NA,1.02
"1995-02-22",0.848,70,37998,NA,1.02
"1995-02-23",0.845,70,37998,NA,1.02
"1995-02-24",0.8515,70,37998,NA,1.02
"1995-03-01",0.85,70,33742,NA,1.55
"1995-03-02",0.853,70,33742,NA,1.55
"1995-03-03",0.858,70,33742,NA,1.55
"1995-03-06",0.868,70,33742,NA,1.55
"1995-03-07",0.886,70,33742,NA,1.55
"1995-03-08",0.886,70,33742,NA,1.55
"1995-03-09",0.888,70,33742,NA,1.55
"1995-03-10",0.88,70,33742,NA,1.55
